eID,d1,d2,event,desc,pID,fundM,ET,CR
1,1,1,War in the Balkans,Increase ET by 4.,0,0,4,0
2,1,2,Conservative Victory in Britain,"Double income from the CO this Game Turn.  They must spend at least £30 buying or maintaining units, excluding the Indian Garrison, this turn.  Ignore and re-roll if a Liberal victory has been rolled this turn.",1,2,0,0
3,1,3,Liberal Victory in Britain,Halve income from the CO thie Game Turn.  They can  spend no more than £10 buying units.  Ignore and re-roll if a Conservative victory has been rolled this turn.,1,0.5,0,0
4,1,4,Serbia Defies Austria-Hungary,Increase ET by 4.  Germany may move Austro-Hungarian units into Serbia and have them attempt to establish control this turn.,0,0,4,0
5,1,5,Upheaval in Russia,No income from the CO this turn.,6,0,0,0
6,1,6,Protests in China,Increase ET by 1.  Increase CR by 5.,0,0,1,5
7,2,1,War in South America,Increase ET by 1.  USA may attempt to establish control in one South American Area this turn.,0,0,1,0
8,2,2,"American ""Yellow Press"" Journalism",Double income from the CO this Game Turn.  They must spend at least £30 buying or maintaining units.  One-time CB vs. Spain.,4,2,0,0
9,2,3,French Anti-German Agitation,Increase ET by 2.  Double income from the CO this game turn.  They must spend at least £30 buying or maintaining units.,2,2,2,0
10,2,4,German Navy League Agitation,Double income from the CO this game turn (Germany only).  They must spend at least £20 buying or maintaining naval units.,3,2,0,0
11,2,5,German Colonial League Agitation,Increase ET by 2.  Double income from the CO this game turn (Germany only).,3,2,2,0
12,2,6,Pan-Slav Agitation in Russia,Increase ET by 2.  Double income from the CO this game turn.  They must spend at least £30 buying or maintaining units.,6,2,2,0
13,3,1,Italian Irredentist Agitation,Increase ET by 2.  Double income from the CO this game turn.  They must spend at least £30 buying or maintaining units.,7,2,2,0
14,3,2,Australian Pressure for Dominion,Grant Australia Dominon status or lose 5 VP.,0,0,0,0
15,3,3,New Zealand Pressure for Dominon,Grant New Zealand Dominion status or lose 5 VP.,0,0,0,0
16,3,4,South African Pressure for Dominion,Grant South Africa Dominon status or lose 5 VP.,0,0,0,0
17,3,5,Alaskan Pressure for Statehood,Grant Alaska Statehood or lose 5 VP.,0,0,0,0
18,3,6,Boer Oppression of Uitlanders,Increase ET by 1.  Britain may attempt to establish control in Transvaal and the Orange River Free State.,0,0,1,0
19,4,1,Japanese War Party Gains Prestige,Increase ET by 1.  Double income from the CO this game turn.  They must spend at least £30 buying or maintaining units.,5,2,1,0
20,4,2,UNREST,Roll on Table A.,0,0,0,0
21,4,3,UNREST,Roll on Table A.,0,0,0,0
22,4,4,UNREST,Roll on Table B.,0,0,0,0
23,4,5,UNREST,Roll on Table B.,0,0,0,0
24,4,6,UNREST,Roll on Table B.,0,0,0,0
25,5,1,UNREST,Roll on Table B.,0,0,0,0
26,5,2,UNREST,Roll on Table C.,0,0,0,0
27,5,3,UNREST,Roll on Table C.,0,0,0,0
28,5,4,UNREST,Roll on Table C.,0,0,0,0
29,5,5,UNREST,Roll on Table C.,0,0,0,0
30,5,6,UNREST,Roll on Table C.,0,0,0,0
31,6,1,UNREST,Roll on Table D.,0,0,0,0
32,6,2,UNREST,Roll on Table D.,0,0,0,0
33,6,3,UNREST,Roll on Table D.,0,0,0,0
34,6,4,UNREST,Roll on Table D.,0,0,0,0
35,6,5,UNREST,Roll on Table D.,0,0,0,0
36,6,6,UNREST,Roll on Table D.,0,0,0,0
